Timestamp,Open,High,Low,Close,Volume
2015-02-01 00:00:00,218.67,219.79,216.16,217.64,96111.44300698997
2015-02-01 01:00:00,218.15,220.4,217.54,220.08,40846.06730522001
2015-02-01 02:00:00,220.08,220.08,216.19,218.31,68310.22667509998
2015-02-01 03:00:00,218.35,220.73,216.49,218.6,66983.343958882
2015-02-01 04:00:00,218.6,220.11,218.0,219.08,38006.857480779996
2015-02-01 05:00:00,219.07,219.41,217.17,218.15,64725.13207439998
2015-02-01 06:00:00,218.0,219.5,217.77,219.5,78239.85467874004
2015-02-01 07:00:00,219.5,219.8,218.99,219.14,4769.71775627
2015-02-01 08:00:00,219.04,219.7,217.42,218.15,20299.54323098
2015-02-01 09:00:00,218.15,218.16,213.0,213.63,66333.83994507999
2015-02-01 10:00:00,214.36,216.57,212.87,214.0,49083.630598052005
2015-02-01 11:00:00,214.94,215.11,212.2,213.72,30562.96787293999
2015-02-01 12:00:00,214.0,215.5,210.0,213.55,70056.24572119996
2015-02-01 13:00:00,213.92,214.69,212.87,214.61,41466.57879480001
2015-02-01 14:00:00,213.97,214.75,212.0,213.64,82218.97607259998
2015-02-01 15:00:00,213.25,218.52,213.25,217.48,115958.37205344005
2015-02-01 16:00:00,217.47,222.5,217.47,220.75,175879.65947223254
2015-02-01 17:00:00,220.88,223.11,218.96,222.11,117069.61705509997
2015-02-01 18:00:00,221.22,224.5,220.48,224.5,74211.28753553997
2015-02-01 19:00:00,224.1,229.05,224.01,228.25,199695.49403750995
2015-02-01 20:00:00,227.99,230.86,226.14,227.27,108304.62177585995
2015-02-01 21:00:00,227.38,233.12,227.3,232.12,200956.99531607004
2015-02-01 22:00:00,232.35,233.79,226.43,227.67,84378.80912513996
2015-02-01 23:00:00,227.77,229.98,227.0,228.99,47587.60620645001
2015-02-02 00:00:00,228.39,231.76,226.9,230.29,65535.00571423002
2015-02-02 01:00:00,230.34,230.34,225.89,228.0,47790.57795183001
2015-02-02 02:00:00,228.0,229.7,227.69,229.7,27536.44352729999
2015-02-02 03:00:00,229.6,231.4,226.15,228.71,90378.11082660999
2015-02-02 04:00:00,229.0,229.99,228.05,228.28,68072.4459656
2015-02-02 05:00:00,228.28,228.4,226.04,227.06,25962.55662913401
2015-02-02 06:00:00,227.06,227.06,222.33,223.29,53507.50062602198
2015-02-02 07:00:00,222.95,226.39,222.17,224.8,55357.49986011003
2015-02-02 08:00:00,224.91,226.97,223.89,224.56,40133.390379060016
2015-02-02 09:00:00,224.89,226.36,224.2,225.04,44742.94590699999
2015-02-02 10:00:00,225.08,225.96,224.4,224.92,17721.915657
